words,pos,dfns
sight,noun, Obsolete. skill; insight.
sight,noun," to see, glimpse, notice, or observe:"
sight,noun," to take a sight or observation of (a stake, coastline, etc.), especially with surveying or navigating instruments."
sight,noun," to direct or aim by a sight or sights, as a firearm."
sight,noun," to provide with sights or adjust the sights of, as a gun."
sight,noun, to aim or observe through a sight.
sight,noun, to look carefully in a certain direction.
sign,noun, an indication or piece of evidence:
sign,noun," any object, action, event, pattern, etc., that is taken as conveying a meaning:"
sign,noun," a conventional or arbitrary mark, figure, or symbol used as an abbreviation for the word or words it represents:"
sign,noun," a motion or gesture used to express or convey an idea, command, decision, etc.:"
sign,noun," a notice, bearing a name, direction, warning, or advertisement, that is displayed or posted for public view:"
sign,noun, a trace; vestige:
sign,noun," an arbitrary or conventional symbol used in musical notation to indicate tonality, tempo, etc.:"
sign,noun, Medicine/Medical. the objective indications of a disease.
sign,noun, any meaningful gestural unit belonging to a sign language.
sign,noun, an omen; portent:
sign,noun, sign of the zodiac ( def ).
sign,noun, sign language ( def 1 ).
sign,noun," Usually signs. traces, such as footprints or scat, of a wild animal."
sign,noun, Mathematics. 
sign,noun," Semiotics.  a symbol, object, or action together with the meaning given to it. signified ( def ), signifier ( def 2 )."
sign,noun, to affix a signature to:
sign,noun, to write as a signature:
sign,noun, to engage or hire by a written agreement:
sign,noun," to mark with a sign, especially the sign of the cross."
sign,noun, to communicate by means of a sign; signal:
sign,noun, to convey (a message) in a sign language.
sign,noun, Obsolete. to direct or appoint by a sign.
sign,noun," to write one's signature as an expression of agreement, obligation, receipt, etc.:"
sign,noun, to communicate by a gesture or signal:
sign,noun, to employ a sign language for communication.
sign,noun, to indicate one’s acceptance of a contract by a signature:
sign,noun, 
sign,noun, 
sign,noun, 
sign,noun, to assign or dispose of by affixing one's signature to a document:
sign,noun," to enlist, as in an organization or group; to register or subscribe:"
sign,noun, 
signal,noun," anything that serves to indicate, warn, direct, command, or the like, such as a light, a gesture, an act, etc.: a signal to leave."
signal,noun, anything agreed upon or understood as the occasion for concerted action.
signal,noun," an act, event, or the like that causes or incites some action:"
signal,noun, a token; indication.
signal,noun," Electronics. an electrical quantity or effect, as current, voltage, or electromagnetic waves, that can be varied in such a way as to convey information."
signal,noun, Cards. a play that reveals to one's partner a wish that they continue or discontinue the suit led.
signal,noun," serving as a token or indication; used in communiating an intention, warning, or command:"
signal,noun, unusual; notable; outstanding:
signal,noun, to make a token or indication to.
signal,noun, to communicate or make known by a token or indication.
signal,noun," to make communication by something that serves to indicate, warn, direct, command, or the like."
significant,adjective, important and deserving of attention; of consequence:
significant,adjective, relatively large in amount or quantity:
significant,adjective, having or expressing a meaning; indicative:
significant,adjective," having a special, secret, or disguised meaning; suggestive:"
significant,adjective, Statistics. of or relating to observations that are unlikely to occur by chance and that therefore indicate a systematic cause:
significant,adjective, something significant; a sign.
significantly,adverb, in a way or as a fact that is important and deserves attention:
significantly,adverb, by a relatively great amount or to a relatively high degree:
significantly,adverb," in a way that carries special, secret, or private meaning:"
significantly,adverb, Statistics. in a way or to a degree that is unlikely to occur by chance and therefore indicates a systematic cause:
silence,noun, absence of any sound or noise; stillness.
silence,noun, the state or fact of being silent; muteness.
silence,noun," absence or omission of mention, comment, or expressed concern:"
silence,noun, the state of being forgotten; oblivion:
silence,noun, concealment; secrecy.
silence,noun, to put or bring to silence; still.
silence,noun," to put (doubts, fears, etc.) to rest; quiet."
silence,noun," Military. to still (enemy guns), as by more effective fire."
silence,noun, be silent! “Silence!” the teacher shouted.
silent,adjective, making no sound; quiet; still:
silent,adjective, refraining from speech.
silent,adjective, speechless; mute.
silent,adjective, not inclined to speak; taciturn; reticent.
silent,adjective, characterized by absence of speech or sound:
silent,adjective, unspoken; tacit:
silent,adjective," omitting mention of something, as in a narrative:"
silent,adjective," inactive or quiescent, as a volcano."
silent,adjective, not sounded or pronounced:
silent,adjective, Movies. not having spoken dialogue or a soundtrack.
silent,adjective, Medicine/Medical. producing no symptoms:
silent,adjective, Usually silents. silent films.
silk,noun," the soft, lustrous fiber obtained as a filament from the cocoon of the silkworm."
silk,noun, thread made from this fiber.
silk,noun, cloth made from this fiber.
silk,noun, a garment of this cloth.
silk,noun, a gown of such material worn distinctively by a King's or Queen's Counsel at the English bar.
silk,noun," silks, the blouse and peaked cap, considered together, worn by a jockey or sulky driver in a race."
silk,noun," Informal. a parachute, especially one opened aloft."
silk,noun," any fiber or filamentous matter resembling silk, as a filament produced by certain spiders, the thread of a mollusk, or the like."
silk,noun, the hairlike styles on an ear of corn.
silk,noun, British Informal. 
silk,noun, made of silk.
silk,noun, resembling silk; silky.
silk,noun, of or relating to silk.
silk,noun, (of corn) to be in the course of developing silk.
silly,adjective, weak-minded or lacking good sense; stupid or foolish:
silly,adjective, absurd; ridiculous; irrational:
silly,adjective," humorous and playful in a clownish, whimsical, or exaggerated way; showing unrestrained high spirits:"
silly,adjective, stunned; dazed:
silly,adjective, Cricket. (of a fielder or the fielder's playing position) extremely close to the batsman's wicket:
silly,adjective, Archaic. rustic; plain; homely.
silly,adjective, Archaic. weak; helpless.
silly,adjective, Obsolete. lowly in rank or state; humble.
silly,adjective, Informal. a silly or foolish person:
silver,noun," Chemistry. a white, ductile metallic element, used for making mirrors, coins, ornaments, table utensils, photographic chemicals, conductors, etc. : Ag; : 107.870; : 47; : 10.5 at 20°C."
silver,noun, coin made of this metal; specie; money:
silver,noun, this metal as a commodity or considered as a currency standard.
silver,noun," table articles made of or plated with silver, including flatware and hollowware."
silver,noun, any flatware:
silver,noun," something resembling this metal in color, luster, etc."
silver,noun," a lustrous grayish white or whitish gray, or the color of the metal:"
silver,noun," any of the silver halides used for photographic purposes, as silver bromide, silver chloride, or silver iodide."
silver,noun, silver medal.
silver,noun," consisting of, made of, or plated with silver."
silver,noun, of or relating to silver.
silver,noun, producing or yielding silver.
silver,noun, resembling silver; silvery:
silver,noun, clear and soft:
silver,noun, eloquent; persuasive:
silver,noun, urging the use of silver as a currency standard:
silver,noun," indicating the twenty-fifth event of a series, as a wedding anniversary."
silver,noun, having the color silver:
silver,noun, to coat with silver or some silverlike substance.
silver,noun, to give a silvery color to.
silver,noun, to become a silvery color.
Silver,noun," Ab·ba Hillel [ab, -, uh], 1893–1963, U.S. rabbi, born in Lithuania."
similar,adjective," having a likeness or resemblance, especially in a general way:"
similar,adjective, Geometry. (of figures) having the same shape; having corresponding sides proportional and corresponding angles equal:
similar,adjective, Mathematics. (of two square matrices) related by means of a similarity transformation.
similarity,noun, the state of being similar; likeness; resemblance.
similarity,noun," an aspect, trait, or feature like or resembling another or another's:"
similarly,adverb, in a way that shows a general but not exact resemblance:
simple,adjective," easy to understand, deal with, use, etc.: simple tools."
simple,adjective, not elaborate or artificial; plain:
simple,adjective, not ornate or luxurious; unadorned:
simple,adjective, unaffected; unassuming; modest:
simple,adjective, not complicated:
simple,adjective, not complex or compound; single
simple,adjective, occurring or considered alone; mere; bare:
simple,adjective, free of deceit or guile; sincere; unconditional:
simple,adjective, common or ordinary:
simple,adjective, not grand or sophisticated; unpretentious:
simple,adjective, humble or lowly:
simple,adjective, inconsequential or rudimentary.
simple,adjective, unlearned; ignorant.
simple,adjective, lacking mental acuteness or sense:
simple,adjective, unsophisticated; naive; credulous.
simple,adjective, simpleminded.
simple,adjective, Chemistry. 
simple,adjective, Botany. not divided into parts: a simple stem.
simple,adjective, Zoology. not compound:
simple,adjective, Music. uncompounded or without overtones; single:
simple,adjective, Grammar.  having only the head without modifying elements included: Compare complete ( def 5 ).
simple,adjective," (of a verb tense) consisting of a main verb with no auxiliaries, as takes (simple present) or stood (simple past) ( compound )."
simple,adjective, Mathematics. linear ( def 8 ).
simple,adjective, Optics. (of a lens) having two optical surfaces only.
simple,adjective," an ignorant, foolish, or gullible person."
simple,adjective," something simple, unmixed, or uncompounded."
simple,adjective," simples, Textiles. cords for controlling the warp threads in forming the shed on draw-looms."
simple,adjective, a person of humble origins; commoner.
simple,adjective, an herb or other plant used for medicinal purposes:
simply,adverb, in a simple manner; clearly and easily.
simply,adverb, plainly; unaffectedly.
simply,adverb, sincerely; artlessly:
simply,adverb, merely; only:
simply,adverb, unwisely; foolishly:
simply,adverb, wholly; absolutely:
since,adverb, from then till now (often preceded by ever ):
since,adverb, between a particular past time and the present; subsequently:
since,adverb, before now; ago:
since,adverb, continuously from or counting from:
since,adverb, between a past time or event and the present:
since,adverb, in the period following the time when:
since,adverb, continuously from or counting from the time when:
since,adverb, because; inasmuch as:
sincere,adjective," free of deceit, hypocrisy, or falseness; earnest:"
sincere,adjective, genuine; real:
sincere,adjective, pure; unmixed; unadulterated.
sincere,adjective, Obsolete. sound; unimpaired.
sing,verb (used without object), to utter words or sounds in succession with musical modulations of the voice; vocalize melodically.
sing,verb (used without object), to perform a song or voice composition:
sing,verb (used without object)," to produce melodious sounds, usually high in pitch, as certain birds, insects, etc.:"
sing,verb (used without object), to compose poetry:
sing,verb (used without object), to tell about or praise someone or something in verse or song:
sing,verb (used without object)," to admit of being sung, as verses:"
sing,verb (used without object)," to give out a continuous ringing, whistling, murmuring, burbling, or other euphonious sound, as a teakettle or a brook."
sing,verb (used without object)," to make a short whistling, ringing, or whizzing sound:"
sing,verb (used without object), (of an electrical amplifying system) to produce an undesired self-sustained oscillation.
sing,verb (used without object)," to have the sensation of a ringing or humming sound, as the ears."
sing,verb (used without object), Slang. to confess or act as an informer; squeal.
sing,verb (used without object)," to utter with musical modulations of the voice, as a song."
sing,verb (used without object), to escort or accompany with singing.
sing,verb (used without object), to proclaim enthusiastically.
sing,verb (used without object)," to bring, send, put, etc., with or by singing:"
sing,verb (used without object), to chant or intone:
sing,verb (used without object), to tell or praise in verse or song.
sing,verb (used without object), the act or performance of singing.
sing,verb (used without object), a gathering or meeting of persons for the purpose of singing:
sing,verb (used without object)," a singing, ringing, or whistling sound, as of a bullet."
sing,verb (used without object), Informal. to call in a loud voice; shout:
sing.,abbreviation for, singular.
singer,noun," a person who sings, especially a trained or professional vocalist."
singer,noun, a poet.
singer,noun, a singing bird.
singer,noun, a person or thing that singes.
Singer,noun," Isaac Ba·shev·is [bah-, shev, -is], 1904–91, U.S. novelist and short-story writer (in Yiddish), born in Poland: Nobel Prize 1978."
Singer,noun," Isaac Mer·rit [mer, -it], 1811–75, U.S. inventor."
single,adjective, only one in number; one only; unique; sole:
single,adjective," of, relating to, or suitable for one person only:"
single,adjective, solitary or sole; lone:
single,adjective, unmarried or not in a romantic relationship:
single,adjective, pertaining to the unmarried state:
single,adjective," of or noting a parent who brings up a child or children alone, without a partner."
single,adjective," of one against one, as combat or fight."
single,adjective," consisting of only one part, element, or member:"
single,adjective, sincere and undivided:
single,adjective," separate, particular, or distinct; individual:"
single,adjective, uniform; applicable to all:
single,adjective, (of a bed or bedclothes) twin-size.
single,adjective, (of a flower) having only one set of petals.
single,adjective," British.  of standard strength or body, as ale, beer, etc. Compare double ( def )."
single,adjective, (of the eye) seeing rightly.
single,adjective, to pick or choose (one) from others (usually followed by out ):
single,adjective, Baseball. 
single,adjective, Baseball. to hit a single.
single,adjective, one person or thing; a single one.
single,adjective," an accommodation suitable for one person only, as a hotel room or a table at a restaurant:"
single,adjective, a ticket for a single seat at a theater.
single,adjective, British. 
single,adjective," singles, people who are unmarried or not in a romantic relationship, especially if relatively young:"
single,adjective, Baseball. Also called  one-base hit. a base hit that enables a batter to reach first base safely.
single,adjective," singles, (used with a singular verb) a match with one player on each side, as a tennis match."
single,adjective, Golf. twosome ( def 4 ).
single,adjective, Cricket. a hit for which one run is scored.
single,adjective, Informal. a one-dollar bill.
single,adjective, Music. 
single,adjective, Often singles. Textiles. 
sink,verb (used without object), to displace part of the volume of a supporting substance or object and become totally or partially submerged or enveloped; fall or descend into or below the surface or to the bottom (often followed by in or into ):
sink,verb (used without object)," to fall, drop, or descend gradually to a lower level:"
sink,verb (used without object)," to settle or fall gradually, as a heavy structure:"
sink,verb (used without object)," to fall or collapse slowly from weakness, fatigue, distress, etc.:"
sink,verb (used without object), to slope downward; dip:
sink,verb (used without object), to go down toward or below the horizon:
sink,verb (used without object)," to penetrate, permeate, or seep (usually followed by in or into ):"
sink,verb (used without object), to become engulfed or absorbed in or gradually to enter a state (usually followed by in or into ):
sink,verb (used without object), to be or become deeply absorbed or involved in a mood or mental state (usually followed by in or into ):
sink,verb (used without object)," to pass or fall into some lower state, as of fortune, estimation, etc.; degenerate:"
sink,verb (used without object), to decline or deteriorate in quality or worth.
sink,verb (used without object), to fail in physical strength or health.
sink,verb (used without object)," to decrease in amount, extent, intensity, etc.:"
sink,verb (used without object)," to become lower in volume, tone, or pitch:"
sink,verb (used without object), to enter or permeate the mind; become known or understood (usually followed by in or into ):
sink,verb (used without object)," to become concave; become hollow, as the cheeks."
sink,verb (used without object), to drop or fall gradually into a lower position:
sink,verb (used without object), to cause to become submerged or enveloped; force into or below the surface; cause to plunge in or down:
sink,verb (used without object)," to cause to fall, drop, or descend gradually."
sink,verb (used without object), to cause to penetrate:
sink,verb (used without object), to lower or depress the level of:
sink,verb (used without object)," to bury, plant, or lay (a pipe, conduit, etc.) into or as if into the ground."
sink,verb (used without object)," to dig, bore, or excavate (a hole, shaft, well, etc.)."
sink,verb (used without object), to bring to a worse or lower state or status.
sink,verb (used without object), to bring to utter ruin or collapse:
sink,verb (used without object)," to reduce in amount, extent, intensity, etc."
sink,verb (used without object)," to lower in volume, tone, or pitch."
sink,verb (used without object), to suppress; ignore; omit.
sink,verb (used without object), to invest in the hope of making a profit or gaining some other return:
sink,verb (used without object)," to lose (money) in an unfortunate investment, enterprise, etc."
sink,verb (used without object), Sports. 
sink,verb (used without object)," a basin or receptacle, as in a kitchen or laundry, usually connected with a water supply and drainage system, for washing dishes, clothing, etc."
sink,verb (used without object)," a low-lying, poorly drained area where waters collect and sink into the ground or evaporate."
sink,verb (used without object), sinkhole ( def 2 ).
sink,verb (used without object), a place of vice or corruption.
sink,verb (used without object), a drain or sewer.
sink,verb (used without object)," a device or place for disposing of energy within a system, as a power-consuming device in an electrical circuit or a condenser in a steam engine."
sink,verb (used without object)," any pond or pit for sewage or waste, as a cesspool or a pool for industrial wastes."
sink,verb (used without object), any natural process by which contaminants are removed from the atmosphere.
sir,noun, a respectful or formal term of address used to a man:
sir,noun, (initial capital letter) the distinctive title of a knight or baronet:
sir,noun, (initial capital letter) a title of respect for some notable personage of ancient times:
sir,noun, a lord or gentleman:
sir,noun, an ironic or humorous title of respect:
sir,noun," Archaic. a title of respect used before a noun to designate profession, rank, etc.:"
sister,noun, a female offspring having both parents in common with another offspring; female sibling.
sister,noun, Also called  half sister. a female offspring having only one parent in common with another offspring.
sister,noun, stepsister.
sister,noun, a female friend or protector regarded as a sister.
sister,noun, a thing regarded as feminine and associated as if by kinship with something else:
sister,noun," a female fellow member, as of a church."
sister,noun," a female member of a religious community that observes the simple vows of poverty, chastity, and obedience."
sister,noun, British. a nurse in charge of a hospital ward; head nurse.
sister,noun, Informal. a term used to refer to or address a fellow Black woman; soul sister.
sister,noun," a woman who supports, promotes, or participates in feminism."
sister,noun," Informal. a form of address used to a woman or girl, especially jocularly or contemptuously:"
sister,noun, being or considered a sister; related by or as if by sisterhood:
sister,noun," having a close relationship with another because of shared interests, problems, or the like:"
sister,noun, Biochemistry. being one of an identical pair.
sit,verb (used without object), to rest with the body supported by the buttocks or thighs; be seated.
sit,verb (used without object), to be located or situated:
sit,verb (used without object), to rest or lie (usually followed by on or upon ):
sit,verb (used without object)," to place oneself in position for an artist, photographer, etc.; pose:"
sit,verb (used without object), to remain quiet or inactive:
sit,verb (used without object), (of a bird) to perch or roost.
sit,verb (used without object), (of a hen) to cover eggs to hatch them; brood.
sit,verb (used without object)," to fit, rest, or hang, as a garment:"
sit,verb (used without object)," to occupy a place or have a seat in an official assembly or in an official capacity, as a legislator, judge, or bishop."
sit,verb (used without object)," to be convened or in session, as an assembly."
sit,verb (used without object), to act as a baby-sitter.
sit,verb (used without object), (of wind) to blow from the indicated direction:
sit,verb (used without object), to be accepted or considered in the way indicated:
sit,verb (used without object), Informal. to be acceptable to the stomach:
sit,verb (used without object), Chiefly British. to take a test or examination:
sit,verb (used without object), to cause to sit; seat (often followed by down ):
sit,verb (used without object), to sit astride or keep one's seat on (a horse or other animal):
sit,verb (used without object), to provide seating accommodations or seating room for; seat:
sit,verb (used without object), Informal. to serve as baby-sitter for:
sit,verb (used without object), Chiefly British. to take (a test or examination):
sit,verb (used without object), 
sit,verb (used without object)," to be a spectator, observer, or visitor at:"
sit,verb (used without object), 
sit,verb (used without object), 
sit,verb (used without object), 
sit,verb (used without object), 
sit,verb, (in prescriptions) may it be.
site,noun," the position or location of a town, building, etc., especially as to its environment:"
site,noun," the area or exact plot of ground on which anything is, has been, or is to be located:"
site,noun, Computers. website.
site,noun, to place in or provide with a site; locate.
site,noun," to put in position for operation, as artillery:"
situation,noun, manner of being situated; location or position with reference to environment:
situation,noun, a place or locality.
situation,noun, condition; case; plight:
situation,noun, the state of affairs; combination of circumstances:
situation,noun, a position or post of employment; job.
situation,noun," a state of affairs of special or critical significance in the course of a play, novel, etc."
situation,noun," Sociology. the aggregate of biological, psychological, and sociocultural factors acting on an individual or group to condition behavioral patterns."
six,noun," a cardinal number, five plus one."
six,noun," a symbol for this number, as 6 or VI."
six,noun, a set of this many persons or things.
six,noun," a playing card, die face, or half of a domino face with six pips."
six,noun," Cricket.  a hit in which the ball crosses the boundary line of the field without a bounce, counting six runs for the batsman. Compare boundary ( def 4 )."
six,noun, an automobile powered by a six-cylinder engine.
six,noun, a six-cylinder engine.
six,noun, Slang. 
six,noun, amounting to six in number.
sixteen,noun," a cardinal number, ten plus six."
sixteen,noun," a symbol for this number, as 16 or XVI."
sixteen,noun, a set of this many persons or things.
sixteen,noun, amounting to 16 in number.
sixty,noun," a cardinal number, ten times six."
sixty,noun," a symbol for this number, as 60 or LX."
sixty,noun, a set of this many persons or things.
sixty,noun," sixties, the numbers, years, degrees, or the like, from 60 through 69, as in referring to numbered streets, indicating the years of a lifetime or of a century, or noting degrees of temperature:"
sixty,noun, amounting to 60 in number.
size,noun," the spatial dimensions, proportions, magnitude, or bulk of anything:"
size,noun, considerable or great magnitude:
size,noun, one of a series of graduated measures for articles of manufacture or trade:
size,noun, extent; amount; scope:
size,noun," actual condition, circumstance, or state of affairs:"
size,noun, a number of population or contents:
size,noun," Obsolete. a fixed standard of quality or quantity, as for food or drink."
size,noun, to separate or sort according to size.
size,noun, to make of a certain size.
size,noun, Metallurgy. to press (a sintered compact) to close tolerances.
size,noun, Obsolete. to regulate or control according to a fixed standard.
size,noun, Informal. 
size,noun," any of various gelatinous or glutinous preparations made from glue, starch, etc., used for filling the pores of cloth, paper, etc., or as an adhesive ground for gold leaf on books."
size,noun, to coat or treat with size.
ski,noun," one of a pair of long, slender runners made of wood, plastic, or metal used in gliding over snow."
ski,noun, water ski.
ski,noun," to travel on skis, as for sport."
ski,noun, to use skis on; travel on skis over:
skiing,noun, the act or sport of gliding on skis.
skill,noun," the ability, coming from one's knowledge, practice, aptitude, etc., to do something well:"
skill,noun, competent excellence in performance; expertness; dexterity:
skill,noun," a craft, trade, or job requiring manual dexterity or special training in which a person has competence and experience:"
skill,noun, Obsolete. understanding; discernment.
skill,noun, Obsolete. reason; cause.
skill,verb (used without object), to matter.
skill,verb (used without object), to help; avail.
skin,noun," the external covering or integument of an animal body, especially when soft and flexible."
skin,noun," such an integument stripped from the body of an animal, especially a small animal; pelt:"
skin,noun," the tanned or treated pelt or hide of an animal, especially when used in apparel and accessories; leather (usually used in combination):"
skin,noun," a container made of animal skin, used for holding liquids, especially wine."
skin,noun," any integumentary covering, casing, outer coating, or surface layer, as an investing membrane, the rind or peel of fruit, or a film on liquid:"
skin,noun, Computers. 
skin,noun, Jewelry. 
skin,noun, Metallurgy. an outer layer of a metal piece having characteristics differing from those of the interior.
skin,noun, Nautical. 
skin,noun, Rocketry. the outer surface of a missile or rocket.
skin,noun, Slang. a condom.
skin,noun," skins, Slang. drums."
skin,noun, Slang. a swindler; cheat.
skin,noun, Slang. a skinflint.
skin,noun, Slang. a horse.
skin,noun, Slang. a dollar bill.
skin,noun, to strip or deprive of skin; flay; peel; husk.
skin,noun," to remove or strip off (any covering, outer coating, surface layer, etc.)."
skin,noun," to scrape or rub a small piece of skin from (one's hand, leg, etc.), as in falling or sliding against something:"
skin,noun," to urge on, drive, or whip (a draft animal, as a mule or ox)."
skin,noun, to climb or jump:
skin,noun, to cover with or as if with skin.
skin,noun," Slang. to strip of money or belongings; fleece, as in gambling."
skin,noun, Cards. to slide cards one at a time off the top of (the pack) in dealing.
skin,noun, Slang. to defeat completely:
skin,noun, Slang. to castigate; reprimand:
skin,noun, Slang. to slip off or depart hurriedly (often followed by out ).
skin,noun, 
skirt,noun," the part of a gown, dress, slip, or coat that extends downward from the waist."
skirt,noun," a one-piece garment extending downward from the waist and not joined between the legs, worn especially by women and girls."
skirt,noun," some part resembling or suggesting the skirt of a garment, as the flared lip of a bell or a protective and ornamental cloth strip covering the legs of furniture."
skirt,noun," a small leather flap on each side of a saddle, covering the metal bar from which the stirrup hangs."
skirt,noun, Building Trades. 
skirt,noun, Also called  apron. Furniture. 
skirt,noun," Usually skirts. the bordering, marginal, or outlying part of a place, group, etc.; the outskirts."
skirt,noun, Older Slang: Usually Disparaging and Offensive. a term used to refer to a woman or girl:
skirt,noun, Rocketry. an outer part of a rocket or missile that provides structural support or houses such systems as avionics or gyroscopes.
skirt,noun, to lie on or along the border of:
skirt,noun," to border, wrap, or cover with a skirt or something suggesting a skirt in appearance or function."
skirt,noun, to pass along or around the border or edge of:
skirt,noun," to avoid, go around the edge of, or keep distant from (something that is controversial, risky, etc.):"
skirt,noun, to remove low-grade wool and foreign matter from (the outer edge of fleece).
skirt,noun, to be or lie on or along the edge of something.
skirt,noun, to move along or around the border of something.
sky,noun, the region of the clouds or the upper air; the upper atmosphere of the earth:
sky,noun," the heavens or firmament, appearing as a great arch or vault."
sky,noun, the supernal or celestial heaven:
sky,noun, the climate:
sky,noun, Obsolete. a cloud.
sky,noun," Informal. to raise, throw, or hit aloft or into the air."
sky,noun," Informal. to hang (a painting) high on a wall, above the line of vision."
sky,noun," Falconry. (of prey, when flushed) to fly straight upward."
slave,noun, a person who is the property of and wholly subject to another and forced to provide unpaid labor.
slave,noun, a person entirely under the domination of some influence or person:
slave,noun, a drudge:
slave,noun, a slave ant.
slave,noun, Photography. a subsidiary flash lamp actuated through its photoelectric cell when the principal flash lamp is discharged.
slave,noun," Machinery, Computers.  a device or process under control of or repeating the actions of a similar device or process. Compare master ( def 21 )."
slave,noun, to work like a slave; drudge.
slave,noun," to engage in the slave trade; procure, transport, or sell slaves."
slave,noun," Machinery, Computers. to connect (a device) to a master as its slave."
slave,noun, Archaic. to enslave.
sleep,verb (used without object)," to take the rest afforded by a suspension of voluntary bodily functions and the natural suspension, complete or partial, of consciousness; cease being awake."
sleep,verb (used without object)," Botany. to assume, especially at night, a state similar to the sleep of animals, marked by closing of petals, leaves, etc."
sleep,verb (used without object)," to be dormant, quiescent, or inactive, as faculties."
sleep,verb (used without object)," to be careless or unalert; allow one's alertness, vigilance, or attentiveness to lie dormant:"
sleep,verb (used without object), to lie in death:
sleep,verb (used without object), to take rest in (a specified kind of sleep):
sleep,verb (used without object), to accommodate for sleeping; have sleeping accommodations for:
sleep,verb (used without object), to spend or pass in sleep (usually followed by away or out ):
sleep,verb (used without object)," to recover from the effects of (a headache, hangover, etc.) by sleeping (usually followed by off or away )."
sleep,verb (used without object)," the state of a person, animal, or plant that sleeps."
sleep,verb (used without object), a period of sleeping:
sleep,verb (used without object), dormancy or inactivity.
sleep,verb (used without object), the repose of death.
sleep,verb (used without object), sleeper ( def 10 ).
sleep,verb (used without object), to be sexual partners; have a sexual relationship.
sleep,verb (used without object)," Informal. to have sexual relations with many partners, especially in a casual way; be sexually promiscuous."
sleep,verb (used without object), to spend one or more nights in a place other than one's own home:
sleep,verb (used without object), 
sleep,verb (used without object), to postpone making a decision about for at least a day:
sleep,verb (used without object), 
sleep,verb (used without object), to have sexual relations with.
slice,noun," a thin, flat piece cut from something:"
slice,noun," a part, portion, or share:"
slice,noun," any of various implements with a thin, broad blade or part, as for turning food in a frying pan, serving fish at the table, or taking up printing ink; spatula."
slice,noun, Sports. 
slice,noun, Tennis. a stroke executed by hitting down on the ball with an underhand motion and thus creating backspin.
slice,noun, to cut into slices; divide into parts.
slice,noun, to cut through or cleave with or as if with a knife:
slice,noun," to cut off or remove as a slice or slices (sometimes followed by off, away, from, etc.)."
slice,noun," to remove by means of a slice, slice bar, or similar implement."
slice,noun, Sports. to hit (a ball) so as to result in a slice.
slice,noun, to slice something.
slice,noun, to admit of being sliced.
slice,noun, Sports. 
slide,verb (used without object), to move along in continuous contact with a smooth or slippery surface:
slide,verb (used without object), to slip or skid.
slide,verb (used without object), to glide or pass smoothly.
slide,verb (used without object)," to slip easily, quietly, or unobtrusively on or as if on a track, channel, or guide rail (usually followed by in, out, away, etc.)."
slide,verb (used without object)," to pass or fall gradually into a specified state, character, practice, etc."
slide,verb (used without object), to decline or decrease:
slide,verb (used without object)," Baseball. (of a base runner) to cast oneself, usually feet first, forward along the ground in the direction of the base being approached, to present less of a target for a baseman attempting to make a tag."
slide,verb (used without object)," to cause to slide, slip, or coast, as over a surface or with a smooth, gliding motion."
slide,verb (used without object)," to hand, pass along, or slip (something) easily or quietly (usually followed by in, into, etc.):"
slide,verb (used without object), an act or instance of sliding.
slide,verb (used without object)," a smooth surface for sliding on, especially a type of chute in a playground."
slide,verb (used without object), an object intended to slide.
slide,verb (used without object), Geology. 
slide,verb (used without object)," a single transparency, object, or image for projection in a projector, as a lantern slide."
slide,verb (used without object), Photography. a small positive color transparency mounted for projection on a screen or magnification through a viewer.
slide,verb (used without object), a usually rectangular plate of glass on which objects are placed for microscopic examination.
slide,verb (used without object), Furniture. a shelf sliding into the body of a piece when not in use.
slide,verb (used without object), Music. 
slide,verb (used without object)," a vehicle mounted on runners, for conveying loads, as of grain or wood, especially over a level surface."
slide,verb (used without object), (of a machine or mechanism)
slide,verb (used without object)," any of various chutes used in logging, mining, or materials handling."
slide,verb (used without object)," a flat or very low-heeled, backless shoe or slipper that can be slipped on and off the foot easily."
slight,adjective," small in amount, degree, etc.:"
slight,adjective," of little importance, influence, etc.; trivial:"
slight,adjective, slender or slim; not heavily built.
slight,adjective, frail; flimsy; delicate:
slight,adjective, of little substance or strength.
slight,adjective, to treat as of little importance.
slight,adjective," to treat (someone) with indifference; ignore, especially pointedly or contemptuously; snub:"
slight,adjective, to do negligently; scamp:
slight,adjective, an act or instance of slighting or being slighted:
slight,adjective, a pointed and contemptuous discourtesy; affront:
slip,verb (used without object)," to move, flow, pass, or go smoothly or easily; glide; slide:"
slip,verb (used without object)," to slide suddenly or involuntarily; to lose one's foothold, as on a smooth surface:"
slip,verb (used without object)," to move, slide, or start gradually from a place or position:"
slip,verb (used without object)," to slide out of or become disengaged from a fastening, the grasp, etc.:"
slip,verb (used without object), to pass without having been acted upon or used; be lost; get away:
slip,verb (used without object)," to pass from the mind, memory, or consciousness."
slip,verb (used without object), to elapse or pass quickly or imperceptibly (often followed by away or by ):
slip,verb (used without object), to become involved or absorbed easily:
slip,verb (used without object)," to move or go quietly, cautiously, or unobtrusively:"
slip,verb (used without object), to put on or take off a garment easily or quickly: He slipped off his shoes.
slip,verb (used without object), to make a mistake or error:
slip,verb (used without object)," to fall below a standard or accustomed level, or to decrease in quantity or quality; decline; deteriorate:"
slip,verb (used without object), to be said or revealed inadvertently (usually followed by out ):
slip,verb (used without object)," to read, study, consider, etc., without attention:"
